stream,CG,DL,IN,KA,MH,MP,OD,RJ,TN,TS,UP,WB,total
engineering,7,4,4,6,7,5,4,5,7,5,7,6,67
architecture,0,1,2,0,1,1,0,1,1,0,2,0,9
design,1,2,2,0,1,0,1,1,1,1,2,1,13
medicine,6,5,3,4,5,1,1,4,5,6,7,5,52
dentistry,0,0,2,0,1,0,0,1,0,0,2,0,6
ayush,0,0,2,0,1,0,0,0,0,0,1,0,4
pharmacy,0,0,2,0,1,1,0,0,0,1,1,0,6
law,1,2,2,0,3,2,2,2,1,2,4,2,23
management,1,3,2,12,3,1,2,2,3,2,4,2,37
commerce,1,2,2,0,2,1,1,1,1,1,3,1,16
science_stats,2,3,2,0,3,2,2,2,1,3,4,2,26
fashion_media,1,1,2,0,1,0,1,1,1,0,2,1,11
humanities,3,3,2,0,3,2,2,2,2,2,3,3,27
education,1,2,2,0,2,1,1,1,1,1,3,1,16
veterinary,0,0,2,0,2,1,0,0,0,1,3,0,9
